canonical_entity_id,canonical_entity_type,canonical_status,source_system,source_row_id,source_sku,source_type,canonical_name,published,catalog_visibility,tax_status,source_in_stock,canonical_brand_external,product_family_external,categories,tags,unit_of_measure_external,pack_size_value_external,pack_size_unit_external,pack_size_text_external,weight_kg,length_cm,width_cm,height_cm,thickness_mm,diameter_value,diameter_unit,omniclass_code,masterformat_code,uniformat_code,etim_code,icms_code,source_content_hash
463695bb-9718-51bb-8882-f879dec72a0d,Product,master_canonical,wajenzi-master-catalogue-v1,11000,TA28,simple,Circular Saw Blade Eco Aluminium 254x3.0/2.2x30 96t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,4e6960c7b05b7d74b25f97973ca76ab590dff493137cffcdd991743fc341ca85
9ec7f953-88bd-52ca-85ef-b80b36b79df4,Product,master_canonical,wajenzi-master-catalogue-v1,11001,TA29,simple,Circular Saw Blade Eco Aluminium 305x3.0/2.2x30 80t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,53b9255ea728afa1898f93939661e6681bcaa5641392be4a94348153b5e09f3b
990cf619-a152-53a5-8ae3-20b9a7e99480,Product,master_canonical,wajenzi-master-catalogue-v1,11002,TA30,simple,Circular Saw Blade Eco Wood  254x3.0/2.0x30 60t,1,visible,taxable,1,,tools,Tool accessories,Woodworking Accessories,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,dcd76665a216ad72e198bc88a91caea1eba7c67f9ef9aab34f80fd1577147783
80de1217-955d-5546-90b9-3306ca322bf9,Product,master_canonical,wajenzi-master-catalogue-v1,11003,TA31,simple,Circular Saw Blade Eco Wood 184x2.2/1.4x20 40t,1,visible,taxable,1,,tools,Tool accessories,Woodworking Accessories,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,4933e2f590c5e1419a612d09069326294e224cfae4e9c8e63301c5a65421dc56
5a4046e3-1822-53e3-bced-af4522bbb71c,Product,master_canonical,wajenzi-master-catalogue-v1,11004,TA32,simple,Circular Saw Blade Eco Wood 184x2.2/1.4x20 60t,1,visible,taxable,1,,tools,Tool accessories,Woodworking Accessories,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,9a3eb64199543440742fba7373a2cf697b6d87d29f647dd9de4f50098d1c1747
9fde4233-7210-5567-89b1-f001c1b7b95e,Product,master_canonical,wajenzi-master-catalogue-v1,11005,TA33,simple,Circular Saw Blade Eco Wood 235x2.8/1.8x30 40t,1,visible,taxable,1,,tools,Tool accessories,Woodworking Accessories,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,08ca8538705ef938b3152c85ebdaf348bb56459078345306f7a71fa28c6cc456
339d0fb0-c86e-5753-8168-4765981544b7,Product,master_canonical,wajenzi-master-catalogue-v1,11006,TA34,simple,Circular Saw Blade Eco Wood 235x2.8/1.8x30 60t,1,visible,taxable,1,,tools,Tool accessories,Woodworking Accessories,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,bd7c1000b6bfb38642f17ed5116f8afdf9192b940ba7df03479c8c3ad072c5b8
7df77111-9290-57cf-b824-9042f5341b25,Product,master_canonical,wajenzi-master-catalogue-v1,11007,TA35,simple,Circular Saw Blade Expert Aluminium 305x2.8x30 96t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,c8d0a3358df587811e12f90e0400220e3fceacf41f1490e6378e496af339dc81
d9fbf722-2b53-5c5e-b463-35795f4b04b3,Product,master_canonical,wajenzi-master-catalogue-v1,11008,TA36,simple,Circular Saw Blade Expert Multi Material 305x2.4x30 96t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,d3ad731532048f644580ea92c84c9a5be1de560f5891aa6c3c0ce19e7700c781
42a0251a-49f7-5731-ba7b-e00ee749b2af,Product,master_canonical,wajenzi-master-catalogue-v1,11009,TA37,simple,Circular Saw Blade Expert Steel 305x2.6x25.4 60t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,715d8d7ffa519ffd5b16f47622aded94a497dac5af7d20ab15c5ff07c25d3e28
06659411-b65c-598f-97d3-d1701af90561,Product,master_canonical,wajenzi-master-catalogue-v1,11010,TA38,simple,Circular Saw Blade Expert Wood 300x3.2x30 48t,1,visible,taxable,1,,tools,Tool accessories,Woodworking Accessories,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,142c0e50d5f4faf115cf5a4989d5b44dd09bf4e2e96ec9f9ee1b7f5850bdf045
9f9899ed-7daf-572e-9b63-a93b9fbad169,Product,master_canonical,wajenzi-master-catalogue-v1,11011,TA39,simple,Circular Saw Blade Multi Material 184x2.0x20 60t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,79d22749724c8f29551b6cea424547866f9cc2f953d37d7acadfca2f0cccf6d9
364845fc-4af6-51ce-8191-66e0bb5b72c2,Product,master_canonical,wajenzi-master-catalogue-v1,11012,TA40,simple,Circular Saw Blade Multi Material 235x2.0x25 80t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,ec28e72b9d3953348ddab9e62d3279e82a0e51b1bf61093955766c1970bb7203
f2d02133-d627-586b-ba45-7e46c98a2797,Product,master_canonical,wajenzi-master-catalogue-v1,11013,TA41,simple,Circular Saw Blade Multi Material 254x3.2x30 96t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,e953466b4a04448de9f6a7519aef3155f7556defb1412773cba6e7a518503d82
3f33d6af-7042-521f-8fc3-78c4a54eb57e,Product,master_canonical,wajenzi-master-catalogue-v1,11014,TA42,simple,Circular Saw Blade Multi Material 305x2.7x30 80t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,089c85f512fdc567273018d51136945751516be2a0bf19b95397260ed10c43bc
91c53d69-fb90-5009-9c45-34c8f96ea864,Product,master_canonical,wajenzi-master-catalogue-v1,11015,TA43,simple,Circular Saw Blade Multi Material 305x3.2x30 96t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,506b4c0ba289765aaa2ec5ce3bb4415512f80f109dccafbfe0f4b05fbf361387
20340fc4-9d86-528e-af20-222694843c4b,Product,master_canonical,wajenzi-master-catalogue-v1,11016,TA44,simple,Circular Saw Blade Multi Material 355x3.2x30100t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,61da8312f5757f386bbcc60743904a6ee061b235e3fe76f8b13eb767a2dcc113
cfaa231c-f6be-5d19-a45a-6246c5131bc4,Product,master_canonical,wajenzi-master-catalogue-v1,11017,TA45,simple,Circular Saw Blade Optiline 254x2.5x30 60t,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC002237,,2ce46c24a3867c6ce00b579deb170ef608d1694be3c3eeb1a09dc6f13403616f
0bf9ec31-3908-5091-9a57-3ef567492c4b,Product,master_canonical,wajenzi-master-catalogue-v1,11019,TA46,simple,Cutting Blade – Diamond Cutting & Grinding Wheel 7-1/4″(180mm) 8500r/Min,1,visible,taxable,1,Stanley,tools,Tool accessories,"Abrasive and Grinding, stanley",piece,1,piece,1 piece,,,,,,,,,,,EC004958,,2f08059043efc4e87596e3fe307096600c4b5833cf0a4aa94eb1146e120baff1
73be6f78-d296-54e4-917d-5e20850b6653,Product,master_canonical,wajenzi-master-catalogue-v1,11021,TA47,simple,Cutting Blade – Diamond Cutting & Grinding Wheel 7-1/4″(180mm) 8500r/Min,1,visible,taxable,1,Stanley,tools,Tool accessories,"Abrasive and Grinding, stanley",piece,1,piece,1 piece,,,,,,,,,,,EC004958,,5858f92d234527422a77b5071a0e8bc03a4a623e5e265a07770a5182e432d395
e0328bd5-8e54-5f82-bee5-d14798fb754a,Product,master_canonical,wajenzi-master-catalogue-v1,11023,TA48,simple,Cutting Blade – Metal Cutting Blade 115×3.2×22.23 Mm 13300-80m/S,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC004742,,f78f7891dd43adca9888dd9d438e27877841a195cba5c77e37363ca7843af3e0
b329225e-fa3b-531f-aee9-5856b0d720fb,Product,master_canonical,wajenzi-master-catalogue-v1,11024,TA49,simple,Cutting Discs Mesh Reinforced 115×1.2×22.23 Mm 13300-80m/S,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC004958,,b0a60189bfb69ebb033aed2e26c67ef30d94735deb32e3b9585a0c34f72649f5
e20ee691-fe75-5d11-9618-d8f3f071f8dd,Product,master_canonical,wajenzi-master-catalogue-v1,11025,TA50,simple,Cutting Discs Mesh Reinforced 230×1.6×22.23 Mm 6600-80m/S,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC004958,,a3663cf3520415ff75221122983f5b9124f8502932dae5b83953c30b4d0c8e78
3f1b6ba0-e09c-5c3a-b269-0a655e97808e,Product,master_canonical,wajenzi-master-catalogue-v1,11026,TA51,simple,Cutting Discs Mesh Reinforced 355x3x25.4mm,1,visible,taxable,1,,tools,Tool accessories,,piece,1,piece,1 piece,,,,,,,,,,,EC004958,,35bdd4877298244c84eb79b8a6742a152de5469985027c9f31c192abd340dba5
