source_code,source_record_id,gid,ward_name,county_name,subcounty_name,dhis2_uid,dhis2_cuid,dhis2_scuid,population_2009,vintage,modified_at,source_status
HDX_ARC_WARDS_1450,iZNVvlnVxm6,767,Lelmoko/ngechek Ward,NANDI,Chesumei Sub County,iZNVvlnVxm6,t0J75eHKxz5,xLWuQq3DjOR,23354.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,i6WDSy6LjRp,121,Mwatate Ward,TAITA TAVETA,Mwatate Sub County,i6WDSy6LjRp,QyGNX2DpR4h,IBDoGsLdhvt,14508.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,Xc5oMwMoQcz,124,Wusi/kishamba Ward,TAITA TAVETA,Mwatate Sub County,Xc5oMwMoQcz,QyGNX2DpR4h,IBDoGsLdhvt,13282.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,HpGxgPszuYN,329,Muminji Ward,EMBU,Mbeere North  Sub County,HpGxgPszuYN,PFu8alU2KWG,eYBXetGx8xF,16728.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,LlyKi6c8KbT,330,Evurore Ward,EMBU,Mbeere North  Sub County,LlyKi6c8KbT,PFu8alU2KWG,eYBXetGx8xF,45582.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,uojD9lkbubw,1782,Lanet/umoja Ward,Nakuru,Nakuru North  Sub County,uojD9lkbubw,ob6SxuRcqU4,nwh9bXKykiS,28011.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,J5JM3Ud8ASG,770,Chepkumia Ward,NANDI,Emgwen Sub County,J5JM3Ud8ASG,t0J75eHKxz5,Njv37QXxNy2,21283.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,oK2KwbL5Dzx,1783,Bahati Ward,Nakuru,Nakuru North  Sub County,oK2KwbL5Dzx,ob6SxuRcqU4,nwh9bXKykiS,30965.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,q6DoWWo1dCR,1786,Kaptembwo Ward,Nakuru,Nakuru West  Sub County,q6DoWWo1dCR,ob6SxuRcqU4,KTayLusaU5I,70352.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,kgPF6QHfrWT,479,Iriaini Ward,NYERI,Mathira East Sub County,kgPF6QHfrWT,ptWVfaCIdVx,vznKK4IegIL,27652.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,rGu0Fh2c3kI,480,Konyu Ward,NYERI,Mathira East Sub County,rGu0Fh2c3kI,ptWVfaCIdVx,vznKK4IegIL,21959.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,VjsUVNylWoY,772,Kapsabet Ward,NANDI,Emgwen Sub County,VjsUVNylWoY,t0J75eHKxz5,Njv37QXxNy2,35962.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,kHfVrUAnNlI,773,Kilibwoni Ward,NANDI,Emgwen Sub County,kHfVrUAnNlI,t0J75eHKxz5,Njv37QXxNy2,48845.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,EDosdjVkXb6,1810,Frere Town Ward,Mombasa,Nyali  Sub County,EDosdjVkXb6,wsBsC6gjHvn,sr8WEz03EnP,41678.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,xPtYtS4uaVJ,481,Kirimukuyu Ward,NYERI,Mathira West Sub County,xPtYtS4uaVJ,ptWVfaCIdVx,msIc1uFAY6B,28898.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
