source_code,source_record_id,level,name,source_pcode,parent_source_pcode,valid_on,valid_to,version,area_sqkm,center_lat,center_lon,geometry_file,source_status
HDX_COD_AB_KE,KE,admin0,Kenya,KE,,2019-10-31,,v01,591575.23894517,0.36858415,37.55150867,ken_admin0.geojson,reference_baseline
HDX_COD_AB_KE,KE030,admin1,Baringo,KE030,KE,2019-10-31,,v01,10889.23931267,0.72635213,36.01859133,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE036,admin1,Bomet,KE036,KE,2019-10-31,,v01,2438.21972707,-0.71609482,35.23845882,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE039,admin1,Bungoma,KE039,KE,2019-10-31,,v01,3016.17422882,0.78569438,34.71875659,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE040,admin1,Busia,KE040,KE,2019-10-31,,v01,1811.57169334,0.37570659,34.26511053,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE028,admin1,Elgeyo-Marakwet,KE028,KE,2019-10-31,,v01,3008.39118365,0.74510213,35.56085569,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE014,admin1,Embu,KE014,KE,2019-10-31,,v01,2823.70595668,-0.53282994,37.66462856,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE007,admin1,Garissa,KE007,KE,2019-10-31,,v01,43596.12807522,-0.52048966,40.35559028,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE043,admin1,Homa Bay,KE043,KE,2019-10-31,,v01,4731.93411291,-0.56240265,34.31453245,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE011,admin1,Isiolo,KE011,KE,2019-10-31,,v01,25399.32883144,1.00638504,38.74765094,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE034,admin1,Kajiado,KE034,KE,2019-10-31,,v01,21884.84021382,-2.11236921,36.77760606,ken_admin1.geojson,reference_baseline
HDX_COD_AB_KE,KE037,admin1,Kakamega,KE037,KE,2019-10-31,,v01,3008.0192847,0.49719043,34.80092901,ken_admin1.geojson,reference_baseline
